LXZJ  322831.1N 975930.1E 3407.0
MNGG  315548.0N 991125.1E 3968.0
DMZJ  313822.6N 990036.0E 3537.0
LDXJ  321810.8N 985626.2E 3737.0
LMZJ  314120.8N 993932.4E 3688.0
WDZJ  315207.0N1004223.0E 3390.0
NLXJ  322152.2N1002130.6E 4107.0
JSZJ  311051.2N 985001.0E 3087.0
GYXJ  304625.0N 990204.2E 3022.0
MQXJ  310834.8N 993508.9E 3819.0
RLZJ  305757.2N1001904.4E 3126.0
HPXJ  303449.4N1001834.6E 2885.0
YDXJ  312854.8N1003109.8E 3291.0
XDZJ  312413.0N1004033.6E 3223.0
CLZJ  301957.0N 992114.8E 3429.0
YRGX  292428.4N 992151.8E 3048.0
SMZJ  284243.9N 991701.0E 2566.0
SGXJ  290833.4N 995454.0E 3106.0
XGLJ  283501.0N1001931.8E 3100.0
LBXJ  290741.9N1003542.0E 3368.0
HNXJ  301349.8N 994859.8E 4256.0
WTXJ  312011.8N1010923.8E 3637.0
BMZJ  302910.7N1012828.9E 3466.0
BEXJ  310426.8N1013308.3E 2936.0
GZXJ  304717.2N1015615.0E 2162.0
YLXJ  301123.3N1015450.0E 2895.0
CNXJ  294535.6N1021216.2E 1361.0
XXXJ  294401.0N1020434.0E 2353.0
TGXJ  290741.5N1013007.9E 3272.0
DGXJ  311850.8N1001446.7E 3300.0
SSSSS      0.0N      0.0E    0.0
